No.,Title,Synopsis,Action,War,Adventure,Comedy,Drama,Romance,Sci-Fi,Fantasy,Horror,Mystery,Crime,Animation,Documentary,Rate
102,Death on the Nile (2022),"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.",0,0,0,0,8,0,0,0,0,10,10,0,0,6.3
103,Shutter Island (2010),"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",0,0,0,0,8,0,0,0,0,10,10,0,0,8.2
104,Psycho (1960),"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",0,0,0,0,0,0,0,0,8,10,10,0,0,8.5
105,Ready or Not (I) (2019),A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,10,0,0,0,0,0,0,0,10,0,10,0,0,6.8
106,Orphan (2009),A husband and wife who recently lost their baby adopt a 9-year-old girl who is not nearly as innocent as she appears.,0,0,0,0,6,0,0,0,10,8,0,0,0,7
107,Memento (2000),A man with short-term memory loss attempts to track down his wife's murderer.,9,0,0,0,0,0,0,0,0,10,10,0,0,8.4
108,The Witches (2020),A young boy and his grandmother have a run-in with a coven of witches and their leader.,0,0,9,8,0,0,0,10,0,0,0,0,0,5.3
109,The Nun (2018),A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,0,0,0,0,0,0,0,0,10,8,0,0,0,5.3
110,Happy Death Day (2017),"A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity.",0,0,0,5,0,0,0,0,10,10,8,0,0,6.6
111,Glass Onion: A Knives Out Mystery (2022),Famed Southern detective Benoit Blanc travels to Greece for his latest case.,0,0,0,7,7.5,0,0,0,0,0,8.4,0,0,8.1
112,The Batman (2022),"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",8.2,0,0,0,7.2,0,0,0,0,0,7.8,0,0,7.9
113,The Godfather (1972),The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,0,0,0,0,8.8,0,0,0,0,0,9.6,0,0,9.2
114,Heojil kyolshim (2022),A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.,0,0,0,0,7.6,0,0,0,0,7,7.4,0,0,7.3
115,Batman: Atsawinrattikan (2008),"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.4,0,0,0,8.1,0,0,0,0,0,8.5,0,0,9
116,The Wolf of Wall Street (2013),"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",0,0,0,7.6,0,0,0,0,0,0,8.4,0,0,8.2
117,Joker (I) (2019),A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,0,0,0,0,8,0,0,0,0,0,8.3,0,0,8.4
118,Sherlock (2010),A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,0,0,0,0,8.7,0,0,0,0,8.5,9.7,0,0,9.1
119,DC League of Super-Pets (2022),"Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped",7.3,0,8.4,0,0,0,0,0,0,0,0,9.4,0,7.3
120,The Nightmare Before Christmas (1993),"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",0,0,0,0,0,0,0,8.2,0,0,0,9.1,0,7.9
